datetime,patient_visits,patient_types,visit_times,patient_type_1,visit_time_1,patient_type_2,visit_time_2,patient_type_3,visit_time_3,patient_type_4,visit_time_4,patient_type_5,visit_time_5,patient_type_6,visit_time_6,patient_type_7,visit_time_7,patient_type_8,visit_time_8
2019-01-01 10:59:00,4,['C' 'A' 'D' 'B'],"[Timestamp('2019-01-01 10:55:00'), Timestamp('2019-01-01 10:40:00'), Timestamp('2019-01-01 10:52:00'), Timestamp('2019-01-01 10:32:00')]",C,2019-01-01 10:55:00,A,2019-01-01 10:40:00,D,2019-01-01 10:52:00,B,2019-01-01 10:32:00,,,,,,,,
2019-01-01 11:59:00,4,['B' 'A' 'A' 'A'],"[Timestamp('2019-01-01 11:48:00'), Timestamp('2019-01-01 11:18:00'), Timestamp('2019-01-01 11:21:00'), Timestamp('2019-01-01 11:02:00')]",B,2019-01-01 11:48:00,A,2019-01-01 11:18:00,A,2019-01-01 11:21:00,A,2019-01-01 11:02:00,,,,,,,,
2019-01-01 12:59:00,3,['B' 'A' 'B'],"[Timestamp('2019-01-01 12:14:00'), Timestamp('2019-01-01 12:46:00'), Timestamp('2019-01-01 12:52:00')]",B,2019-01-01 12:14:00,A,2019-01-01 12:46:00,B,2019-01-01 12:52:00,,,,,,,,,,
2019-01-01 13:59:00,5,['C' 'A' 'B' 'B' 'B'],"[Timestamp('2019-01-01 13:24:00'), Timestamp('2019-01-01 13:16:00'), Timestamp('2019-01-01 13:20:00'), Timestamp('2019-01-01 13:11:00'), Timestamp('2019-01-01 13:41:00')]",C,2019-01-01 13:24:00,A,2019-01-01 13:16:00,B,2019-01-01 13:20:00,B,2019-01-01 13:11:00,B,2019-01-01 13:41:00,,,,,,
2019-01-01 14:59:00,7,['A' 'D' 'C' 'B' 'C' 'A' 'B'],"[Timestamp('2019-01-01 14:22:00'), Timestamp('2019-01-01 14:28:00'), Timestamp('2019-01-01 14:56:00'), Timestamp('2019-01-01 14:58:00'), Timestamp('2019-01-01 14:30:00'), Timestamp('2019-01-01 14:19:00'), Timestamp('2019-01-01 14:46:00')]",A,2019-01-01 14:22:00,D,2019-01-01 14:28:00,C,2019-01-01 14:56:00,B,2019-01-01 14:58:00,C,2019-01-01 14:30:00,A,2019-01-01 14:19:00,B,2019-01-01 14:46:00,,
2019-01-01 15:59:00,4,['B' 'D' 'B' 'A'],"[Timestamp('2019-01-01 15:18:00'), Timestamp('2019-01-01 15:22:00'), Timestamp('2019-01-01 15:06:00'), Timestamp('2019-01-01 15:34:00')]",B,2019-01-01 15:18:00,D,2019-01-01 15:22:00,B,2019-01-01 15:06:00,A,2019-01-01 15:34:00,,,,,,,,
2019-01-01 16:59:00,5,['B' 'C' 'B' 'C' 'B'],"[Timestamp('2019-01-01 16:10:00'), Timestamp('2019-01-01 16:00:00'), Timestamp('2019-01-01 16:37:00'), Timestamp('2019-01-01 16:52:00'), Timestamp('2019-01-01 16:25:00')]",B,2019-01-01 16:10:00,C,2019-01-01 16:00:00,B,2019-01-01 16:37:00,C,2019-01-01 16:52:00,B,2019-01-01 16:25:00,,,,,,
2019-01-01 17:59:00,2,['A' 'C'],"[Timestamp('2019-01-01 17:20:00'), Timestamp('2019-01-01 17:23:00')]",A,2019-01-01 17:20:00,C,2019-01-01 17:23:00,,,,,,,,,,,,
2019-01-01 18:59:00,5,['A' 'B' 'B' 'C' 'A'],"[Timestamp('2019-01-01 18:53:00'), Timestamp('2019-01-01 18:51:00'), Timestamp('2019-01-01 18:01:00'), Timestamp('2019-01-01 18:57:00'), Timestamp('2019-01-01 18:13:00')]",A,2019-01-01 18:53:00,B,2019-01-01 18:51:00,B,2019-01-01 18:01:00,C,2019-01-01 18:57:00,A,2019-01-01 18:13:00,,,,,,
2019-01-01 19:59:00,3,['C' 'B' 'B'],"[Timestamp('2019-01-01 19:28:00'), Timestamp('2019-01-01 19:47:00'), Timestamp('2019-01-01 19:28:00')]",C,2019-01-01 19:28:00,B,2019-01-01 19:47:00,B,2019-01-01 19:28:00,,,,,,,,,,
2019-01-01 20:59:00,4,['B' 'C' 'B' 'A'],"[Timestamp('2019-01-01 20:51:00'), Timestamp('2019-01-01 20:03:00'), Timestamp('2019-01-01 20:25:00'), Timestamp('2019-01-01 20:33:00')]",B,2019-01-01 20:51:00,C,2019-01-01 20:03:00,B,2019-01-01 20:25:00,A,2019-01-01 20:33:00,,,,,,,,
2019-01-01 21:59:00,6,['A' 'D' 'B' 'B' 'A' 'B'],"[Timestamp('2019-01-01 21:51:00'), Timestamp('2019-01-01 21:35:00'), Timestamp('2019-01-01 21:04:00'), Timestamp('2019-01-01 21:53:00'), Timestamp('2019-01-01 21:41:00'), Timestamp('2019-01-01 21:15:00')]",A,2019-01-01 21:51:00,D,2019-01-01 21:35:00,B,2019-01-01 21:04:00,B,2019-01-01 21:53:00,A,2019-01-01 21:41:00,B,2019-01-01 21:15:00,,,,
2019-01-01 22:59:00,2,['B' 'A'],"[Timestamp('2019-01-01 22:37:00'), Timestamp('2019-01-01 22:14:00')]",B,2019-01-01 22:37:00,A,2019-01-01 22:14:00,,,,,,,,,,,,
2019-01-01 23:59:00,6,['B' 'D' 'B' 'B' 'B' 'B'],"[Timestamp('2019-01-01 23:57:00'), Timestamp('2019-01-01 23:54:00'), Timestamp('2019-01-01 23:14:00'), Timestamp('2019-01-01 23:34:00'), Timestamp('2019-01-01 23:16:00'), Timestamp('2019-01-01 23:32:00')]",B,2019-01-01 23:57:00,D,2019-01-01 23:54:00,B,2019-01-01 23:14:00,B,2019-01-01 23:34:00,B,2019-01-01 23:16:00,B,2019-01-01 23:32:00,,,,
2019-01-02 00:59:00,3,['A' 'C' 'B'],"[Timestamp('2019-01-02 00:52:00'), Timestamp('2019-01-02 00:52:00'), Timestamp('2019-01-02 00:37:00')]",A,2019-01-02 00:52:00,C,2019-01-02 00:52:00,B,2019-01-02 00:37:00,,,,,,,,,,
2019-01-02 01:59:00,3,['C' 'B' 'A'],"[Timestamp('2019-01-02 01:39:00'), Timestamp('2019-01-02 01:01:00'), Timestamp('2019-01-02 01:12:00')]",C,2019-01-02 01:39:00,B,2019-01-02 01:01:00,A,2019-01-02 01:12:00,,,,,,,,,,
2019-01-02 02:59:00,3,['C' 'C' 'A'],"[Timestamp('2019-01-02 02:37:00'), Timestamp('2019-01-02 02:48:00'), Timestamp('2019-01-02 02:35:00')]",C,2019-01-02 02:37:00,C,2019-01-02 02:48:00,A,2019-01-02 02:35:00,,,,,,,,,,
2019-01-02 03:59:00,5,['A' 'C' 'C' 'D' 'C'],"[Timestamp('2019-01-02 03:18:00'), Timestamp('2019-01-02 03:28:00'), Timestamp('2019-01-02 03:17:00'), Timestamp('2019-01-02 03:31:00'), Timestamp('2019-01-02 03:05:00')]",A,2019-01-02 03:18:00,C,2019-01-02 03:28:00,C,2019-01-02 03:17:00,D,2019-01-02 03:31:00,C,2019-01-02 03:05:00,,,,,,
2019-01-02 04:59:00,1,['A'],[Timestamp('2019-01-02 04:50:00')],A,2019-01-02 04:50:00,,,,,,,,,,,,,,
2019-01-02 05:59:00,3,['A' 'B' 'B'],"[Timestamp('2019-01-02 05:06:00'), Timestamp('2019-01-02 05:14:00'), Timestamp('2019-01-02 05:38:00')]",A,2019-01-02 05:06:00,B,2019-01-02 05:14:00,B,2019-01-02 05:38:00,,,,,,,,,,
2019-01-02 06:59:00,5,['C' 'D' 'B' 'A' 'A'],"[Timestamp('2019-01-02 06:09:00'), Timestamp('2019-01-02 06:27:00'), Timestamp('2019-01-02 06:32:00'), Timestamp('2019-01-02 06:04:00'), Timestamp('2019-01-02 06:30:00')]",C,2019-01-02 06:09:00,D,2019-01-02 06:27:00,B,2019-01-02 06:32:00,A,2019-01-02 06:04:00,A,2019-01-02 06:30:00,,,,,,
2019-01-02 07:59:00,5,['B' 'C' 'A' 'B' 'D'],"[Timestamp('2019-01-02 07:10:00'), Timestamp('2019-01-02 07:21:00'), Timestamp('2019-01-02 07:46:00'), Timestamp('2019-01-02 07:08:00'), Timestamp('2019-01-02 07:40:00')]",B,2019-01-02 07:10:00,C,2019-01-02 07:21:00,A,2019-01-02 07:46:00,B,2019-01-02 07:08:00,D,2019-01-02 07:40:00,,,,,,
2019-01-02 08:59:00,2,['B' 'D'],"[Timestamp('2019-01-02 08:57:00'), Timestamp('2019-01-02 08:28:00')]",B,2019-01-02 08:57:00,D,2019-01-02 08:28:00,,,,,,,,,,,,
2019-01-02 09:59:00,8,['C' 'C' 'D' 'C' 'A' 'B' 'B' 'C'],"[Timestamp('2019-01-02 09:11:00'), Timestamp('2019-01-02 09:14:00'), Timestamp('2019-01-02 09:10:00'), Timestamp('2019-01-02 09:29:00'), Timestamp('2019-01-02 09:43:00'), Timestamp('2019-01-02 09:40:00'), Timestamp('2019-01-02 09:13:00'), Timestamp('2019-01-02 09:34:00')]",C,2019-01-02 09:11:00,C,2019-01-02 09:14:00,D,2019-01-02 09:10:00,C,2019-01-02 09:29:00,A,2019-01-02 09:43:00,B,2019-01-02 09:40:00,B,2019-01-02 09:13:00,C,2019-01-02 09:34:00
2019-01-02 10:59:00,2,['C' 'A'],"[Timestamp('2019-01-02 10:45:00'), Timestamp('2019-01-02 10:55:00')]",C,2019-01-02 10:45:00,A,2019-01-02 10:55:00,,,,,,,,,,,,
2019-01-02 11:59:00,3,['A' 'A' 'B'],"[Timestamp('2019-01-02 11:57:00'), Timestamp('2019-01-02 11:12:00'), Timestamp('2019-01-02 11:41:00')]",A,2019-01-02 11:57:00,A,2019-01-02 11:12:00,B,2019-01-02 11:41:00,,,,,,,,,,
2019-01-02 12:59:00,3,['B' 'D' 'A'],"[Timestamp('2019-01-02 12:48:00'), Timestamp('2019-01-02 12:29:00'), Timestamp('2019-01-02 12:01:00')]",B,2019-01-02 12:48:00,D,2019-01-02 12:29:00,A,2019-01-02 12:01:00,,,,,,,,,,
2019-01-02 13:59:00,5,['C' 'C' 'B' 'A' 'B'],"[Timestamp('2019-01-02 13:15:00'), Timestamp('2019-01-02 13:16:00'), Timestamp('2019-01-02 13:34:00'), Timestamp('2019-01-02 13:45:00'), Timestamp('2019-01-02 13:53:00')]",C,2019-01-02 13:15:00,C,2019-01-02 13:16:00,B,2019-01-02 13:34:00,A,2019-01-02 13:45:00,B,2019-01-02 13:53:00,,,,,,
2019-01-02 14:59:00,7,['B' 'B' 'B' 'C' 'C' 'B' 'C'],"[Timestamp('2019-01-02 14:42:00'), Timestamp('2019-01-02 14:36:00'), Timestamp('2019-01-02 14:24:00'), Timestamp('2019-01-02 14:28:00'), Timestamp('2019-01-02 14:42:00'), Timestamp('2019-01-02 14:03:00'), Timestamp('2019-01-02 14:06:00')]",B,2019-01-02 14:42:00,B,2019-01-02 14:36:00,B,2019-01-02 14:24:00,C,2019-01-02 14:28:00,C,2019-01-02 14:42:00,B,2019-01-02 14:03:00,C,2019-01-02 14:06:00,,
2019-01-02 15:59:00,4,['C' 'C' 'A' 'B'],"[Timestamp('2019-01-02 15:56:00'), Timestamp('2019-01-02 15:25:00'), Timestamp('2019-01-02 15:42:00'), Timestamp('2019-01-02 15:41:00')]",C,2019-01-02 15:56:00,C,2019-01-02 15:25:00,A,2019-01-02 15:42:00,B,2019-01-02 15:41:00,,,,,,,,
2019-01-02 16:59:00,3,['A' 'D' 'D'],"[Timestamp('2019-01-02 16:14:00'), Timestamp('2019-01-02 16:30:00'), Timestamp('2019-01-02 16:00:00')]",A,2019-01-02 16:14:00,D,2019-01-02 16:30:00,D,2019-01-02 16:00:00,,,,,,,,,,
2019-01-02 17:59:00,4,['B' 'B' 'A' 'B'],"[Timestamp('2019-01-02 17:18:00'), Timestamp('2019-01-02 17:29:00'), Timestamp('2019-01-02 17:04:00'), Timestamp('2019-01-02 17:36:00')]",B,2019-01-02 17:18:00,B,2019-01-02 17:29:00,A,2019-01-02 17:04:00,B,2019-01-02 17:36:00,,,,,,,,
2019-01-02 18:59:00,6,['B' 'A' 'A' 'A' 'B' 'A'],"[Timestamp('2019-01-02 18:58:00'), Timestamp('2019-01-02 18:01:00'), Timestamp('2019-01-02 18:36:00'), Timestamp('2019-01-02 18:37:00'), Timestamp('2019-01-02 18:37:00'), Timestamp('2019-01-02 18:35:00')]",B,2019-01-02 18:58:00,A,2019-01-02 18:01:00,A,2019-01-02 18:36:00,A,2019-01-02 18:37:00,B,2019-01-02 18:37:00,A,2019-01-02 18:35:00,,,,
2019-01-02 19:59:00,3,['D' 'A' 'A'],"[Timestamp('2019-01-02 19:48:00'), Timestamp('2019-01-02 19:19:00'), Timestamp('2019-01-02 19:45:00')]",D,2019-01-02 19:48:00,A,2019-01-02 19:19:00,A,2019-01-02 19:45:00,,,,,,,,,,
2019-01-02 20:59:00,6,['B' 'A' 'B' 'B' 'C' 'C'],"[Timestamp('2019-01-02 20:21:00'), Timestamp('2019-01-02 20:37:00'), Timestamp('2019-01-02 20:57:00'), Timestamp('2019-01-02 20:15:00'), Timestamp('2019-01-02 20:53:00'), Timestamp('2019-01-02 20:24:00')]",B,2019-01-02 20:21:00,A,2019-01-02 20:37:00,B,2019-01-02 20:57:00,B,2019-01-02 20:15:00,C,2019-01-02 20:53:00,C,2019-01-02 20:24:00,,,,
2019-01-02 21:59:00,4,['B' 'C' 'C' 'B'],"[Timestamp('2019-01-02 21:36:00'), Timestamp('2019-01-02 21:44:00'), Timestamp('2019-01-02 21:29:00'), Timestamp('2019-01-02 21:27:00')]",B,2019-01-02 21:36:00,C,2019-01-02 21:44:00,C,2019-01-02 21:29:00,B,2019-01-02 21:27:00,,,,,,,,
2019-01-02 22:59:00,5,['A' 'B' 'A' 'B' 'B'],"[Timestamp('2019-01-02 22:15:00'), Timestamp('2019-01-02 22:58:00'), Timestamp('2019-01-02 22:07:00'), Timestamp('2019-01-02 22:26:00'), Timestamp('2019-01-02 22:08:00')]",A,2019-01-02 22:15:00,B,2019-01-02 22:58:00,A,2019-01-02 22:07:00,B,2019-01-02 22:26:00,B,2019-01-02 22:08:00,,,,,,
2019-01-02 23:59:00,4,['A' 'A' 'C' 'C'],"[Timestamp('2019-01-02 23:38:00'), Timestamp('2019-01-02 23:49:00'), Timestamp('2019-01-02 23:48:00'), Timestamp('2019-01-02 23:33:00')]",A,2019-01-02 23:38:00,A,2019-01-02 23:49:00,C,2019-01-02 23:48:00,C,2019-01-02 23:33:00,,,,,,,,
2019-01-03 00:59:00,5,['A' 'A' 'A' 'B' 'A'],"[Timestamp('2019-01-03 00:31:00'), Timestamp('2019-01-03 00:02:00'), Timestamp('2019-01-03 00:11:00'), Timestamp('2019-01-03 00:27:00'), Timestamp('2019-01-03 00:58:00')]",A,2019-01-03 00:31:00,A,2019-01-03 00:02:00,A,2019-01-03 00:11:00,B,2019-01-03 00:27:00,A,2019-01-03 00:58:00,,,,,,
2019-01-03 01:59:00,4,['A' 'A' 'C' 'A'],"[Timestamp('2019-01-03 01:38:00'), Timestamp('2019-01-03 01:22:00'), Timestamp('2019-01-03 01:44:00'), Timestamp('2019-01-03 01:32:00')]",A,2019-01-03 01:38:00,A,2019-01-03 01:22:00,C,2019-01-03 01:44:00,A,2019-01-03 01:32:00,,,,,,,,
2019-01-03 02:59:00,3,['C' 'C' 'C'],"[Timestamp('2019-01-03 02:53:00'), Timestamp('2019-01-03 02:47:00'), Timestamp('2019-01-03 02:40:00')]",C,2019-01-03 02:53:00,C,2019-01-03 02:47:00,C,2019-01-03 02:40:00,,,,,,,,,,
2019-01-03 03:59:00,4,['B' 'B' 'A' 'B'],"[Timestamp('2019-01-03 03:50:00'), Timestamp('2019-01-03 03:43:00'), Timestamp('2019-01-03 03:55:00'), Timestamp('2019-01-03 03:25:00')]",B,2019-01-03 03:50:00,B,2019-01-03 03:43:00,A,2019-01-03 03:55:00,B,2019-01-03 03:25:00,,,,,,,,
2019-01-03 04:59:00,7,['D' 'C' 'B' 'A' 'D' 'A' 'B'],"[Timestamp('2019-01-03 04:37:00'), Timestamp('2019-01-03 04:34:00'), Timestamp('2019-01-03 04:33:00'), Timestamp('2019-01-03 04:27:00'), Timestamp('2019-01-03 04:26:00'), Timestamp('2019-01-03 04:52:00'), Timestamp('2019-01-03 04:10:00')]",D,2019-01-03 04:37:00,C,2019-01-03 04:34:00,B,2019-01-03 04:33:00,A,2019-01-03 04:27:00,D,2019-01-03 04:26:00,A,2019-01-03 04:52:00,B,2019-01-03 04:10:00,,
2019-01-03 05:59:00,3,['B' 'C' 'C'],"[Timestamp('2019-01-03 05:08:00'), Timestamp('2019-01-03 05:16:00'), Timestamp('2019-01-03 05:45:00')]",B,2019-01-03 05:08:00,C,2019-01-03 05:16:00,C,2019-01-03 05:45:00,,,,,,,,,,
2019-01-03 06:59:00,3,['A' 'B' 'A'],"[Timestamp('2019-01-03 06:47:00'), Timestamp('2019-01-03 06:12:00'), Timestamp('2019-01-03 06:36:00')]",A,2019-01-03 06:47:00,B,2019-01-03 06:12:00,A,2019-01-03 06:36:00,,,,,,,,,,
2019-01-03 07:59:00,3,['C' 'C' 'C'],"[Timestamp('2019-01-03 07:28:00'), Timestamp('2019-01-03 07:18:00'), Timestamp('2019-01-03 07:18:00')]",C,2019-01-03 07:28:00,C,2019-01-03 07:18:00,C,2019-01-03 07:18:00,,,,,,,,,,
2019-01-03 08:59:00,2,['A' 'D'],"[Timestamp('2019-01-03 08:20:00'), Timestamp('2019-01-03 08:09:00')]",A,2019-01-03 08:20:00,D,2019-01-03 08:09:00,,,,,,,,,,,,
2019-01-03 09:59:00,2,['A' 'C'],"[Timestamp('2019-01-03 09:52:00'), Timestamp('2019-01-03 09:11:00')]",A,2019-01-03 09:52:00,C,2019-01-03 09:11:00,,,,,,,,,,,,
2019-01-03 10:59:00,4,['B' 'C' 'A' 'C'],"[Timestamp('2019-01-03 10:14:00'), Timestamp('2019-01-03 10:37:00'), Timestamp('2019-01-03 10:04:00'), Timestamp('2019-01-03 10:22:00')]",B,2019-01-03 10:14:00,C,2019-01-03 10:37:00,A,2019-01-03 10:04:00,C,2019-01-03 10:22:00,,,,,,,,
2019-01-03 11:59:00,3,['A' 'A' 'B'],"[Timestamp('2019-01-03 11:28:00'), Timestamp('2019-01-03 11:12:00'), Timestamp('2019-01-03 11:28:00')]",A,2019-01-03 11:28:00,A,2019-01-03 11:12:00,B,2019-01-03 11:28:00,,,,,,,,,,
2019-01-03 12:59:00,5,['C' 'B' 'B' 'B' 'A'],"[Timestamp('2019-01-03 12:14:00'), Timestamp('2019-01-03 12:34:00'), Timestamp('2019-01-03 12:53:00'), Timestamp('2019-01-03 12:22:00'), Timestamp('2019-01-03 12:58:00')]",C,2019-01-03 12:14:00,B,2019-01-03 12:34:00,B,2019-01-03 12:53:00,B,2019-01-03 12:22:00,A,2019-01-03 12:58:00,,,,,,
2019-01-03 13:59:00,3,['C' 'B' 'B'],"[Timestamp('2019-01-03 13:56:00'), Timestamp('2019-01-03 13:35:00'), Timestamp('2019-01-03 13:05:00')]",C,2019-01-03 13:56:00,B,2019-01-03 13:35:00,B,2019-01-03 13:05:00,,,,,,,,,,
2019-01-03 14:59:00,4,['A' 'A' 'B' 'B'],"[Timestamp('2019-01-03 14:05:00'), Timestamp('2019-01-03 14:56:00'), Timestamp('2019-01-03 14:52:00'), Timestamp('2019-01-03 14:29:00')]",A,2019-01-03 14:05:00,A,2019-01-03 14:56:00,B,2019-01-03 14:52:00,B,2019-01-03 14:29:00,,,,,,,,
2019-01-03 15:59:00,5,['C' 'B' 'C' 'D' 'A'],"[Timestamp('2019-01-03 15:48:00'), Timestamp('2019-01-03 15:21:00'), Timestamp('2019-01-03 15:15:00'), Timestamp('2019-01-03 15:28:00'), Timestamp('2019-01-03 15:22:00')]",C,2019-01-03 15:48:00,B,2019-01-03 15:21:00,C,2019-01-03 15:15:00,D,2019-01-03 15:28:00,A,2019-01-03 15:22:00,,,,,,
2019-01-03 16:59:00,5,['B' 'D' 'A' 'A' 'C'],"[Timestamp('2019-01-03 16:14:00'), Timestamp('2019-01-03 16:08:00'), Timestamp('2019-01-03 16:33:00'), Timestamp('2019-01-03 16:23:00'), Timestamp('2019-01-03 16:23:00')]",B,2019-01-03 16:14:00,D,2019-01-03 16:08:00,A,2019-01-03 16:33:00,A,2019-01-03 16:23:00,C,2019-01-03 16:23:00,,,,,,
2019-01-03 17:59:00,6,['C' 'B' 'B' 'D' 'A' 'D'],"[Timestamp('2019-01-03 17:10:00'), Timestamp('2019-01-03 17:22:00'), Timestamp('2019-01-03 17:58:00'), Timestamp('2019-01-03 17:42:00'), Timestamp('2019-01-03 17:51:00'), Timestamp('2019-01-03 17:38:00')]",C,2019-01-03 17:10:00,B,2019-01-03 17:22:00,B,2019-01-03 17:58:00,D,2019-01-03 17:42:00,A,2019-01-03 17:51:00,D,2019-01-03 17:38:00,,,,
2019-01-03 18:59:00,5,['A' 'C' 'A' 'D' 'D'],"[Timestamp('2019-01-03 18:45:00'), Timestamp('2019-01-03 18:46:00'), Timestamp('2019-01-03 18:46:00'), Timestamp('2019-01-03 18:22:00'), Timestamp('2019-01-03 18:47:00')]",A,2019-01-03 18:45:00,C,2019-01-03 18:46:00,A,2019-01-03 18:46:00,D,2019-01-03 18:22:00,D,2019-01-03 18:47:00,,,,,,
2019-01-03 19:59:00,5,['D' 'A' 'C' 'B' 'A'],"[Timestamp('2019-01-03 19:23:00'), Timestamp('2019-01-03 19:04:00'), Timestamp('2019-01-03 19:14:00'), Timestamp('2019-01-03 19:21:00'), Timestamp('2019-01-03 19:07:00')]",D,2019-01-03 19:23:00,A,2019-01-03 19:04:00,C,2019-01-03 19:14:00,B,2019-01-03 19:21:00,A,2019-01-03 19:07:00,,,,,,
2019-01-03 20:59:00,5,['B' 'B' 'D' 'B' 'B'],"[Timestamp('2019-01-03 20:27:00'), Timestamp('2019-01-03 20:16:00'), Timestamp('2019-01-03 20:20:00'), Timestamp('2019-01-03 20:41:00'), Timestamp('2019-01-03 20:56:00')]",B,2019-01-03 20:27:00,B,2019-01-03 20:16:00,D,2019-01-03 20:20:00,B,2019-01-03 20:41:00,B,2019-01-03 20:56:00,,,,,,
2019-01-03 21:59:00,4,['C' 'A' 'A' 'B'],"[Timestamp('2019-01-03 21:53:00'), Timestamp('2019-01-03 21:39:00'), Timestamp('2019-01-03 21:08:00'), Timestamp('2019-01-03 21:56:00')]",C,2019-01-03 21:53:00,A,2019-01-03 21:39:00,A,2019-01-03 21:08:00,B,2019-01-03 21:56:00,,,,,,,,
2019-01-03 22:59:00,5,['B' 'D' 'B' 'A' 'D'],"[Timestamp('2019-01-03 22:54:00'), Timestamp('2019-01-03 22:53:00'), Timestamp('2019-01-03 22:01:00'), Timestamp('2019-01-03 22:39:00'), Timestamp('2019-01-03 22:46:00')]",B,2019-01-03 22:54:00,D,2019-01-03 22:53:00,B,2019-01-03 22:01:00,A,2019-01-03 22:39:00,D,2019-01-03 22:46:00,,,,,,
